real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=61,-0.73685,-4.5854,-4.16439,-2.0439,-2.7969,-0.514838,-1.59226,-3.59379,0.0143761,0.303256,gen=0_member=61,5.4e-05,5.4e-05,20.0283,0.317632,4.92085,0.317632,1,1,0,0,0,0
gen=0_member=62,-0.0606321,-0.864687,-2.61091,-1.58689,-4.15121,-1.33416,-3.61808,-1.57191,0.698407,2.17573,gen=0_member=62,9.36e-05,9.36e-05,15.7985,2.87414,3.22745,2.87414,1,1,0,0,0,0
gen=0_member=63,-3.9382,-0.413203,-3.13455,-2.93983,-3.2624,-1.68728,-3.7137,-4.30911,0.451896,5.97703,gen=0_member=63,4.34e-05,4.34e-05,23.3983,6.42893,4.26945,6.42893,1,1,0,0,0,0
gen=0_member=64,-1.22769,-1.36844,-2.69061,-4.65104,-2.08183,-0.58837,-4.10501,-1.30411,4.2854,0.936229,gen=0_member=64,8.37e-05,8.37e-05,18.0171,5.22163,3.18675,5.22163,1,1,0,0,0,0
gen=0_member=65,-1.23874,-4.02172,-1.93329,-1.50211,-2.58787,-4.64544,-0.241652,-4.00421,0.535667,2.71446,gen=0_member=65,1.83e-18,1.83e-18,20.175,3.25012,4.21115,3.25012,1,1,0,0,0,0
gen=0_member=68,-2.25075,-3.68166,-2.56218,-4.59607,-1.75869,-3.10027,-3.90703,-2.532,2.13004,6.20486,gen=0_member=68,6.68e-06,6.68e-06,24.3886,8.3349,4.04825,8.3349,1,1,0,0,0,0
gen=0_member=70,-1.75009,-1.39905,-0.559761,-3.61118,-0.277149,-2.37452,-4.5241,-4.61181,0.769159,3.56354,gen=0_member=70,0.00014353,0.00014353,19.1077,4.3327,3.70575,4.3327,1,1,0,0,0,0
gen=0_member=71,-1.86741,-0.25818,-1.0265,-2.61516,-3.59571,-3.57533,-3.70192,-3.55301,3.15548,0.00446347,gen=0_member=71,2.11e-99,2.11e-99,20.1932,3.15995,4.27545,3.15995,1,1,0,0,0,0
gen=0_member=73,-1.70178,-1.64105,-0.942158,-2.29987,-2.61505,-0.426665,-1.01674,-4.08955,2.78361,4.59208,gen=0_member=73,0.000115317,0.000115317,14.7329,7.37568,1.80165,7.37568,1,1,0,0,0,0
gen=0_member=74,-4.19406,-1.10643,-0.604423,-1.65303,-4.11828,-4.1558,-3.05295,-1.63231,5.83126,0.66178,gen=0_member=74,0.0,0.0,20.5173,6.49304,3.51435,6.49304,1,1,0,0,0,0
gen=0_member=76,-2.78938,-3.40136,-3.70421,-1.67666,-1.28951,-3.95297,-4.70484,-4.34931,1.37602,2.53593,gen=0_member=76,0.8424,0.8424,25.8682,3.91195,5.78711,3.91195,1,1,0,0,0,0
gen=0_member=77,-0.00273738,-1.32742,-4.43622,-2.82631,-0.94284,-0.222438,-2.01906,-0.494841,2.39811,0.229444,gen=0_member=77,6.04e-05,6.04e-05,12.2719,2.62755,2.37175,2.62755,1,1,0,0,0,0
gen=0_member=78,-3.49103,-2.10664,-2.26236,-4.70298,-1.11812,-1.17252,-0.814821,-2.23129,4.56997,1.48986,gen=0_member=78,4.68e-05,4.68e-05,17.8998,6.05983,2.91775,6.05983,1,1,0,0,0,0
gen=0_member=79,-1.09798,-1.56896,-0.848237,-4.14606,-2.01637,-3.30205,-0.678589,-0.235024,4.44088,2.01517,gen=0_member=79,0.000238343,0.000238343,13.8933,6.45605,1.81485,6.45605,1,1,0,0,0,0
