generation,member,ar_rate_total,mean_conc,ar_rate_total_sd,mean_conc_sd,ar_rate_total_sd_syn,mean_conc_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
300,gen=2094_member=29301_pso,6.94351,0.0894463,0,0.000859897,0.0116581,0.00614618,1,1.0,0,0.496663,0.496663,1,-999
300,gen=2098_member=29779_pso,7.05348,0.0451634,0,0.0012584,0.0116581,0.00614618,1,1.0,0,0.481015,0.481015,1,-999
300,gen=2099_member=29885_pso,6.74121,0.231999,0,0.00106966,0.0116581,0.00614618,1,1.0,0,0.482693,0.482693,1,-999
300,gen=2100_member=29925_pso,6.9174,0.105111,0,0.00534788,0.0116581,0.00614618,1,1.0,0,0.491606,0.491606,1,-999
300,gen=2100_member=29996_pso,6.80201,0.183364,0,0.00851032,0.0116581,0.00851032,1,1.0,0,0.496333,0.496333,1,-999
300,gen=2100_member=29965_pso,7.07277,0.0393907,0,0.00116918,0.0116581,0.00614618,1,1.0,0,0.47693,0.47693,1,-999
300,gen=2100_member=29960_pso,7.61904,0.000521288,0,0.00946739,0.0116581,0.00946739,1,1.0,0,0.458919,0.458919,1,-999
300,gen=2100_member=29951_pso,6.72272,0.247873,0,0.000900404,0.0116581,0.00614618,1,1.0,0,0.477785,0.477785,1,-999
300,gen=2100_member=29943_pso,7.23191,0.0127244,0,0.0085753,0.0116581,0.0085753,1,1.0,0,0.457261,0.457261,1,-999
300,gen=2100_member=29938_pso,6.93069,0.0967119,0,0.000776266,0.0116581,0.00614618,1,1.0,0,0.494782,0.494782,1,-999
300,gen=2100_member=29934_pso,6.93667,0.0933134,0,0.000801407,0.0116581,0.00614618,1,1.0,0,0.495902,0.495902,1,-999
300,gen=2100_member=29929_pso,7.25947,0.00842027,0,0.000910559,0.0116581,0.00614618,1,1.0,0,0.452645,0.452645,1,-999
300,gen=2028_member=22783_pso,6.86646,0.137997,0,0.00846689,0.0116581,0.00846689,1,1.0,0,0.48982,0.48982,1,-999
300,gen=2029_member=22844_pso,6.65686,0.408323,0,0.0159179,0.0116581,0.0159179,1,1.0,0,0.447319,0.447319,1,-999
300,gen=2014_member=21389_pso,6.83429,0.160278,0,0.00844498,0.0116581,0.00844498,1,1.0,0,0.493794,0.493794,1,-999
300,gen=1196_member=29598_pso,6.84691,0.15025,0,0.0,0.0116581,0.00614618,1,1.0,0,0.490628,0.490628,1,-999
300,gen=2083_member=28296_pso,6.79033,0.192372,0,0.00820262,0.0116581,0.00820262,1,1.0,0,0.49506,0.49506,1,-999
300,gen=2014_member=21383_pso,6.70131,0.297923,0,0.00917896,0.0116581,0.00917896,1,1.0,0,0.469653,0.469653,1,-999
300,gen=2083_member=28233_pso,6.95703,0.08213,0,0.00132411,0.0116581,0.00614618,1,1.0,0,0.498214,0.498214,1,-999
300,gen=2081_member=28094_pso,6.92402,0.10065,0,0.00343185,0.0116581,0.00614618,1,1.0,0,0.493273,0.493273,1,-999
300,gen=2080_member=27997_pso,7.41659,0.00126214,0,0.000333924,0.0116581,0.00614618,1,1.0,0,0.453995,0.453995,1,-999
300,gen=2080_member=27904_pso,6.94908,0.0864043,0,0.00135727,0.0116581,0.00614618,1,1.0,0,0.497697,0.497697,1,-999
300,gen=2079_member=27884_pso,6.9553,0.0830376,0,0.00148469,0.0116581,0.00614618,1,1.0,0,0.498071,0.498071,1,-999
300,gen=2079_member=27805_pso,6.96081,0.0800909,0,0.000802322,0.0116581,0.00614618,1,1.0,0,0.498434,0.498434,1,-999
300,gen=2087_member=28695_pso,6.97548,0.0725371,0,0.00137477,0.0116581,0.00614618,1,1.0,0,0.498475,0.498475,1,-999
300,gen=2078_member=27754_pso,7.44011,0.000476379,0,0.00351532,0.0116581,0.00614618,1,1.0,0,0.45277,0.45277,1,-999
300,gen=2077_member=27669_pso,6.95313,0.084164,0,0.000996498,0.0116581,0.00614618,1,1.0,0,0.498111,0.498111,1,-999
300,gen=2071_member=27002_pso,6.97271,0.0739361,0,0.00138909,0.0116581,0.00614618,1,1.0,0,0.498789,0.498789,1,-999
300,gen=2065_member=26457_pso,6.78311,0.197882,0,0.00820767,0.0116581,0.00820767,1,1.0,0,0.493039,0.493039,1,-999
300,gen=2063_member=26202_pso,7.70297,-0.0123874,0,0.0158525,0.0116581,0.0158525,1,1.0,0,0.447992,0.447992,1,-999
300,gen=2062_member=26131_pso,6.79203,0.191089,0,0.00853702,0.0116581,0.00853702,1,1.0,0,0.494535,0.494535,1,-999
300,gen=2060_member=25961_pso,6.69601,0.34053,0,0.015551,0.0116581,0.015551,1,1.0,0,0.461403,0.461403,1,-999
300,gen=2058_member=25760_pso,6.9686,0.0760584,0,0.00144633,0.0116581,0.00614618,1,1.0,0,0.499185,0.499185,1,-999
300,gen=2055_member=25414_pso,6.97043,0.0751091,0,0.00140215,0.0116581,0.00614618,1,1.0,0,0.49903,0.49903,1,-999
300,gen=2053_member=25264_pso,6.95111,0.0852956,0,0.0014285,0.0116581,0.00614618,1,1.0,0,0.497888,0.497888,1,-999
300,gen=2084_member=28306_pso,6.78899,0.19336,0,0.00817177,0.0116581,0.00817177,1,1.0,0,0.494847,0.494847,1,-999
300,gen=2083_member=28264_pso,6.96211,0.0794059,0,0.000818623,0.0116581,0.00614618,1,1.0,0,0.498618,0.498618,1,-999
300,gen=2084_member=28388_pso,6.95769,0.0817832,0,0.00129979,0.0116581,0.00614618,1,1.0,0,0.498031,0.498031,1,-999
300,gen=1955_member=15459_pso,6.79944,0.185342,0,0.00851947,0.0116581,0.00851947,1,1.0,0,0.495591,0.495591,1,-999
300,gen=2014_member=21321_pso,6.64583,0.599147,0,0.0282679,0.0116581,0.0282679,1,1.0,0,0.413962,0.413962,1,-999
300,gen=2048_member=24705_pso,6.97487,0.0728567,0,0.00151579,0.0116581,0.00614618,1,1.0,0,0.498518,0.498518,1,-999
300,gen=2078_member=27773_pso,6.98212,0.0692314,0,0.00145903,0.0116581,0.00614618,1,1.0,0,0.497241,0.497241,1,-999
300,gen=2013_member=21201_pso,6.81552,0.173555,0,0.00846253,0.0116581,0.00846253,1,1.0,0,0.494912,0.494912,1,-999
300,gen=2006_member=20553_pso,7.81164,-0.0086254,0,0.0197225,0.0116581,0.0197225,1,1.0,0,0.427236,0.427236,1,-999
300,gen=1497_member=29655_pso,6.81078,0.176615,0,0.0,0.0116581,0.00614618,1,1.0,0,0.495156,0.495156,1,-999
300,gen=1498_member=29724_pso,6.90308,0.11313,0,0.0,0.0116581,0.00614618,1,1.0,0,0.489243,0.489243,1,-999
300,gen=1987_member=18682_pso,6.81703,0.17251,0,0.00844563,0.0116581,0.00844563,1,1.0,0,0.494965,0.494965,1,-999
300,gen=1500_member=29921_pso,6.87326,0.13236,0,0.0,0.0116581,0.00614618,1,1.0,0,0.488024,0.488024,1,-999
300,gen=1839_member=3800_pso,7.72623,-0.0154713,0,0.0186561,0.0116581,0.0186561,1,1.0,0,0.44333,0.44333,1,-999
300,gen=1972_member=17166_pso,6.67485,0.35835,0,0.0159479,0.0116581,0.0159479,1,1.0,0,0.455845,0.455845,1,-999
300,gen=2086_member=28513_pso,6.81381,0.174851,0,0.00861238,0.0116581,0.00861238,1,1.0,0,0.494783,0.494783,1,-999
300,gen=1891_member=9042_pso,6.8323,0.161679,0,0.0084461,0.0116581,0.0084461,1,1.0,0,0.494388,0.494388,1,-999
300,gen=2095_member=29426_pso,6.99013,0.0651992,0,0.00798703,0.0116581,0.00798703,1,0.5625,1,0.494909,0.494909,1,-999
300,gen=2047_member=24661_pso,6.97129,0.0746706,0,0.00131823,0.0116581,0.00614618,1,0.5625,1,0.498809,0.498809,1,-999
300,gen=2042_member=24160_pso,6.97591,0.0723158,0,0.0014043,0.0116581,0.00614618,1,0.5625,1,0.498468,0.498468,1,-999
300,gen=2013_member=21229_pso,6.96475,0.0780324,0,0.000879388,0.0116581,0.00614618,1,0.5625,1,0.498912,0.498912,1,-999
300,gen=2098_member=29776_pso,6.814,0.17472,0,0.00850157,0.0116581,0.00850157,1,0.5625,1,0.494728,0.494728,1,-999
300,gen=2082_member=28197_pso,6.96701,0.0768649,0,0.00135876,0.0116581,0.00614618,1,0.5625,1,0.49904,0.49904,1,-999
300,gen=2083_member=28205_pso,6.97705,0.0717535,0,0.00135824,0.0116581,0.00614618,1,0.5625,1,0.498276,0.498276,1,-999
300,gen=2099_member=29892_pso,6.98095,0.069857,0,0.000883445,0.0116581,0.00614618,1,0.5625,1,0.497312,0.497312,1,-999
300,gen=2087_member=28608_pso,6.97088,0.0748803,0,0.00131673,0.0116581,0.00614618,1,0.5625,1,0.498905,0.498905,1,-999
300,gen=2069_member=26834_pso,6.9657,0.0775604,0,0.00139649,0.0116581,0.00614618,1,0.25,2,0.498984,0.498984,1,-999
300,gen=2090_member=28995_pso,6.96704,0.0768514,0,0.00135878,0.0116581,0.00614618,1,0.25,2,0.499048,0.499048,1,-999
300,gen=2064_member=26372_pso,6.96792,0.0764128,0,0.00137164,0.0116581,0.00614618,1,0.0625,3,0.499103,0.499103,1,-999
299,gen=2058_member=25779_pso,6.80408,0.182009,0,0.00859973,0.0118657,0.00859973,1,1.0,0,0.496469,0.496469,1,-999
299,gen=2078_member=27746_pso,7.8324,-0.0098731,0,0.0266708,0.0118657,0.0266708,1,1.0,0,0.432785,0.432785,1,-999
299,gen=1927_member=12660_pso,6.80192,0.183433,0,0.00851033,0.0118657,0.00851033,1,1.0,0,0.49636,0.49636,1,-999
299,gen=2095_member=29464_pso,7.61954,0.000533774,0,0.0094679,0.0118657,0.0094679,1,1.0,0,0.458816,0.458816,1,-999
299,gen=2096_member=29515_pso,7.36401,0.00228355,0,0.00335029,0.0118657,0.00614618,1,1.0,0,0.449367,0.449367,1,-999
